Station,Place,Local authority,Managed by,Station code,Travelcard Zone,Principal lines,Latitude,Longitude,DurationTerm,Terminus
Stamford Hill,Stamford Hill,Haringey,National Express East Anglia,SMH,2,Lea Valley,51.5749 ,-0.0761,,
Stoke Newington,Stoke Newington,Hackney,National Express East Anglia,SKW,2,Lea Valley,51.5651 ,-0.0727,,
Stonebridge Park,Wembley,Brent,London Underground,SBP,3,Watford DC,51.544 ,-0.2754,,
Stoneleigh,Epsom,Epsom and Ewell,South West Trains,SNL,6,Sutton & Mole Valley,51.3637 ,-0.2487,33,Waterloo
Stratford,Stratford,Newham,London Underground,SRA,3,Great Eastern Main,51.5417 ,-0.0037,,
Stratford International,Stratford,Newham,Not yet operational,???,3,High Speed 1,51.54481,-0.00875,,
Strawberry Hill,Strawberry Hill,Richmond,South West Trains,STW,5,Kingston Loop,51.4389 ,-0.3388,37,Waterloo
Streatham,Streatham,Lambeth,Southern,STE,3,Sutton & Mole Valley,51.426 ,-0.1311,,
Streatham Common,Streatham Common,Lambeth,Southern,SRC,3,Sutton & Mole Valley,51.4187 ,-0.1359,,
Streatham Hill,Streatham,Lambeth,Southern,SRH,3,Sutton & Mole Valley,51.438 ,-0.1271,,
Sudbury & Harrow Road,Sudbury,Brent,Chiltern,SUD,4,Chiltern Main,51.554 ,-0.3167,,
Sudbury Hill Harrow,Sudbury,Harrow,Chiltern,SDH,4,Chiltern Main,51.5589 ,-0.3358,,
Sundridge Park,Bromley,Bromley,Southeastern,SUP,4,Bromley North,51.4137 ,0.0221,,
Surbiton,Surbiton,Kingston,South West Trains,SUR,6,South Western M,51.3926 ,-0.3044,18,Waterloo
Sutton,Sutton,Sutton,Southern,SUO,5,Sutton & Mole Valley,51.3601 ,-0.1903,,
Sutton Common,Sutton,Sutton,First Capital Connect,SUC,4,Thameslink,51.3751 ,-0.1964,,
Sydenham,Sydenham,Lewisham,Southern,SYD,3,Brighton Main,51.4268 ,-0.0545,,
Sydenham Hill,Sydenham,Southwark,Southeastern,SYH,3,Chatham Main,51.4326 ,-0.0802,,
Syon Lane,Hounslow,Hounslow,South West Trains,SYL,4,Hounslow Loop,51.4818 ,-0.3248,35,Waterloo
Teddington,Teddington,Richmond,South West Trains,TED,6,Kingston Loop,51.4247 ,-0.3325,38,Waterloo
Thames Ditton,Thames Ditton,Elmbridge,South West Trains,THD,6,Hampton Court Branch,51.3886 ,-0.3383,30,Waterloo
Thornton Heath,Thornton Heath,Croydon,Southern,TTH,4,Sutton & Mole Valley,51.3985 ,-0.1004,,
Tolworth,Tolworth,Kingston,South West Trains,TOL,5,Chessington Branch,51.3771 ,-0.2793,34,Waterloo
Tooting,Tooting,Merton,First Capital Connect,TOO,3,Thameslink,51.4196 ,-0.1603,,
Tottenham Hale,Tottenham Hale,Haringey,National Express East Anglia,TOM,3,Lea Valley,51.5902 ,-0.0611,,
Tulse Hill,Tulse Hill,Lambeth,Southern,TUH,3,Sutton & Mole Valley,51.4399 ,-0.1049,,
Turkey Street,Bullsmoor,Enfield,National Express East Anglia,TUR,6,Lea Valley,51.6725 ,-0.0474,,
Twickenham,Twickenham,Richmond,South West Trains,TWI,5,Waterloo to Reading,51.4504 ,-0.3296,25,Waterloo
Upminster,Upminster,Havering,c2c,UPM,6,"L, T & S",51.5588 ,0.2509,,
Upper Holloway,Upper Holloway,Islington,London Overground,UHL,2,Gospel Oak to Barking,51.5638 ,-0.1298,,
Vauxhall,Vauxhall,Lambeth,South West Trains,VXH,1,South Western M,51.4859 ,-0.1229,6,Waterloo
W Hampstead Thameslink,West Hampstead,Camden,First Capital Connect,WHP,2,Thameslink,51.5473 ,-0.1913,,
Waddon,Waddon,Croydon,Southern,WDO,5,Sutton & Mole Valley,51.3674 ,-0.117,,
Wallington,Wallington,Sutton,Southern,WLT,5,Sutton & Mole Valley,51.3592 ,-0.1533,,
Walthamstow Central,Walthamstow,Waltham Forest,National Express East Anglia,WHC,3,Chingford Branch,51.5831 ,-0.0192,,
Walthamstow Queens Road,Walthamstow,Waltham Forest,London Overground,WMW,3,Gospel Oak to Barking,51.5817 ,-0.024,,
Wandsworth Common,Wandsworth,Wandsworth,Southern,WSW,3,Sutton & Mole Valley,51.4464 ,-0.1635,,
Wandsworth Road,Wandsworth,Wandsworth,Southern,WWR,2,S London (Inner),51.4702 ,-0.139,,
Wandsworth Town,Wandsworth,Wandsworth,South West Trains,WNT,2,Waterloo to Reading,51.461 ,-0.1879,16,Waterloo
Wanstead Park,Forest Gate,Newham,London Overground,WNP,3,Gospel Oak to Barking,51.5518 ,0.0264,,
Welling,Welling,Bexley,Southeastern,WLI,4,Bexleyheath,51.4647 ,0.1017,,
Wembley Central,Wembley,Brent,London Underground,WMB,4,Watford DC,51.5519 ,-0.2964,,
Wembley Stadium,Wembley,Brent,Chiltern,WCX,4,Chiltern Main,51.5543 ,-0.2863,,
West Brompton,West Brompton,Kensington and Chelsea,London Underground,WBP,2,West London,51.4866 ,-0.1957,,
West Croydon,Croydon,Croydon,Southern,WCY,5,Sutton & Mole Valley,51.3785 ,-0.102,,
West Drayton,West Drayton,Hillingdon,First Great Western,WDT,6,Great Western M,51.5101 ,-0.4719,,
West Dulwich,Dulwich,Southwark,Southeastern,WDU,3,Chatham Main,51.4409 ,-0.0906,,
West Ealing,West Ealing,Ealing,First Great Western,WEA,3,Great Western M,51.5137 ,-0.3203,,
West Ham,West Ham,Newham,London Underground,WEH,3,"L, T & S",51.5284 ,0.0066,,
West Hampstead,West Hampstead,Camden,London Overground,WHD,2,North London,51.5473 ,-0.1913,,
West Norwood,West Norwood,Lambeth,Southern,WNW,3,South London,51.4318 ,-0.1035,,
West Ruislip,Ruislip,Hillingdon,Chiltern,WRU,6,Chiltern Main,51.5696 ,-0.4376,,
West Sutton,West Sutton,Sutton,First Capital Connect,WSU,5,Thameslink,51.3662 ,-0.2051,,
West Wickham,West Wickham,Bromley,Southeastern,WWI,5,Hayes,51.3813 ,-0.0145,,
Westcombe Park,Westcombe Park,Greenwich,Southeastern,WCB,3,Greenwich,51.4842 ,0.0187,,
White Hart Lane,Tottenham,Haringey,National Express East Anglia,WHL,3,Lea Valley,51.6049 ,-0.0711,,
Whitton,Whitton,Richmond,South West Trains,WTN,5,Waterloo to Reading,51.4495 ,-0.3578,29,Waterloo
Willesden Junction,Harlesden,Brent,London Overground,WIJ,3,"N. London, Watford DC",51.5324 ,-0.2439,,
Wimbledon,Wimbledon,Merton,South West Trains,WIM,3,South Western M,51.4232 ,-0.2043,19,Waterloo
Wimbledon Chase,Wimbledon,Merton,First Capital Connect,WBO,3,Thameslink,51.4095 ,-0.2142,,
Winchmore Hill,Winchmore Hill,Enfield,First Capital Connect,WIH,4,Hertford Loop,51.6341 ,-0.1013,,
Wood Street,Walthamstow,Waltham Forest,National Express East Anglia,WST,4,Chingford Branch,51.5864 ,-0.0021,,
Woodgrange Park,Manor Park,Newham,London Overground,WGR,3,Gospel Oak to Barking,51.5487 ,0.0454,,
Woodmansterne,Coulsdon,Croydon,Southern,WME,6,Tattenham Corner,51.3192 ,-0.1539,,
Woolwich Arsenal,Woolwich,Greenwich,Southeastern,WWA,4,North Kent,51.4898 ,0.0694,,
Woolwich Dockyard,Woolwich,Greenwich,Southeastern,WWD,3,North Kent,51.4913 ,0.0536,,
Worcester Park,Worcester Park,Sutton,South West Trains,WCP,4,Sutton & Mole Valley,51.3804 ,-0.2412,29,Waterloo
