Station,Place,Local authority,Managed by,Station code,Travelcard Zone,Principal lines,Latitude,Longitude,DurationTerm,Terminus
Catford,Catford,Lewisham,Southeastern,CTF,3,Catford Loop,51.4447 ,-0.0261,,
Catford Bridge,Catford,Lewisham,Southeastern,CFB,3,Mid-Kent,51.4446 ,-0.025,,
Chadwell Heath,Chadwell Heath,Barking and Dagenham,National Express East Anglia,CTH,5,Great Eastern Main,51.5678 ,0.1292,,
Chalfont & Latimer,Little Chalfont,Chiltern,London Underground,CFO,C,London to Aylesbury,51.6679 ,-0.561,,
Charlton,Charlton,Greenwich,Southeastern,CTN,3,North Kent,51.4868 ,0.031,,
Cheam,Cheam,Sutton,Southern,CHE,5,Sutton & Mole Valley,51.356 ,-0.2147,,
Chelsfield,Chelsfield,Bromley,Southeastern,CLD,6,South Eastern Main,51.3565 ,0.1076,,
Chessington North,Chessington,Kingston,South West Trains,CSN,6,Chessington Branch,51.3642 ,-0.3005,36,Waterloo
Chessington South,Chessington,Kingston,South West Trains,CSS,6,Chessington Branch,51.3569 ,-0.308,38,Waterloo
Chingford,Chingford,Epping Forest,National Express East Anglia,CHI,5,Chingford Branch,51.6331 ,0.0094,,
Chislehurst,Chislehurst,Bromley,Southeastern,CIT,5,South Eastern Main,51.4057 ,0.0573,,
Chiswick,Chiswick,Hounslow,South West Trains,CHK,4,Hounslow Loop,51.4813 ,-0.2683,27,Waterloo
City Thameslink,Holborn Viaduct,City of London,First Capital Connect,CTK,1,Thameslink,51.5163 ,-0.1037,,
Clapham High Street,Clapham,Lambeth,Southern,CLP,2,South London,51.4658 ,-0.1328,,
Clapham Junction,Battersea,Wandsworth,South West Trains,CLJ,2,S W M and Brighton M,51.4644 ,-0.1703,10,Waterloo
Clapton,Upper Clapton,Hackney,National Express East Anglia,CPT,2,Lea Valley,51.5617 ,-0.0571,,
Clock House,Beckenham,Bromley,Southeastern,CLK,4,Hayes,51.4088 ,-0.0411,,
Coulsdon South,Coulsdon,Croydon,Southern,CDS,6,Brighton Main,51.3157 ,-0.138,,
Crayford,Crayford,Bexley,Southeastern,CRY,6,Dartford Loop,51.4483 ,0.1786,,
Crews Hill,Crews Hill,Enfield,First Capital Connect,CWH,6,Hertford Loop,51.6845 ,-0.1072,,
Cricklewood,Cricklewood,Barnet,First Capital Connect,CRI,3,Thameslink,51.5586 ,-0.2129,,
Crofton Park,Crofton Park,Lewisham,Southeastern,CFT,3,Catford Loop,51.455 ,-0.0367,,
Crouch Hill,Crouch Hill,Islington,London Overground,CRH,3,Gospel Oak to Barking,51.572 ,-0.1171,,
Crystal Palace,Crystal Palace,Bromley,Southern,CYP,4,Brighton Main,51.4182 ,-0.0726,,
Dagenham Dock,Dagenham Dock,Barking and Dagenham,c2c,DDK,5,"L, T & S",51.5268 ,0.145,,
Dalston Kingsland,Dalston,Hackney,London Overground,DLK,2,North London,51.5482 ,-0.0763,,
Dartford,Dartford,"Dartford, Kent",Southeastern,DFD,Outside See article,North Kent,51.4475 ,0.2193,,
Denmark Hill,Denmark Hill,Southwark,Southeastern,DMK,2,South London,51.4683 ,-0.0894,,
Deptford,Deptford,Lewisham,Southeastern,DEP,2,Greenwich,51.4788 ,-0.0265,,
Drayton Green,Ealing,Ealing,First Great Western,DRG,4,Greenford Branch,51.5165 ,-0.33,,
Drayton Park,Islington,Islington,First Capital Connect,DYP,2,Northern City,51.5528 ,-0.1055,,
Ealing Broadway,Ealing,Ealing,First Great Western,EAL,3,Great Western M,51.5147 ,-0.3017,,
Earlsfield,Earlsfield,Wandsworth,South West Trains,EAD,3,South Western M,51.4424 ,-0.1877,15,Waterloo
East Croydon,Croydon,Croydon,Southern,ECR,5,Brighton Main,51.3753 ,-0.093,,
East Dulwich,Dulwich,Southwark,Southern,EDW,2,Sutton & Mole Valley,51.4616 ,-0.0804,,
Eden Park,Eden Park,Bromley,Southeastern,EDN,5,Hayes,51.39 ,-0.0262,,
Edmonton Green,Edmonton,Enfield,National Express East Anglia,EDR,4,Lea Valley,51.6242 ,-0.0614,,
Elephant & Castle,Elephant and Castle,Southwark,First Capital Connect,EPH,1,Thameslink,51.4938 ,-0.0986,,
Elmers End,Elmers End,Bromley,Southeastern,ELE,4,Hayes,51.3981 ,-0.0496,,
Elmstead Woods,Elmstead,Bromley,Southeastern,ESD,4,South Eastern Main,51.4168 ,0.0441,,
Elstree & Borehamwood,Elstree,Hertsmere,First Capital Connect,ELS,6,Thameslink,51.6531 ,-0.2802,,
Eltham,Eltham,Greenwich,Southeastern,ELW,4,Bexleyheath,51.4555 ,0.0515,,
Emerson Park,Emerson Park,Havering,National Express East Anglia,EMP,6,Romford to Upminster,51.5687 ,0.2204,,
Enfield Chase,Enfield Town,Enfield,First Capital Connect,ENC,5,Hertford Loop,51.6529 ,-0.0908,,
Enfield Lock,Enfield,Enfield,National Express East Anglia,ENL,6,Lea Valley,51.6709 ,-0.0284,,
Enfield Town,Enfield Town,Enfield,National Express East Anglia,ENF,5,Lea Valley,51.6516 ,-0.0792,,
Erith,Erith,Bexley,Southeastern,ERH,6,North Kent,51.4816 ,0.1754,,
Essex Road,Canonbury,Islington,First Capital Connect,EXR,2,Northern City,51.5406 ,-0.0963,,
Falconwood,Falconwood,Bexley,Southeastern,FCN,4,Bexleyheath,51.4592 ,0.0799,,
Farringdon,Clerkenwell,Islington,London Underground,ZFD,1,Thameslink,51.5206 ,-0.1053,,
Feltham,Feltham,Hounslow,South West Trains,FEL,6,Waterloo to Reading,51.4481 ,-0.4088,31,Waterloo
Finchley Road & Frognal,Frognal,Camden,London Overground,FNY,2,North London,51.5499 ,-0.1837,,
Finsbury Park,Finsbury Park,Islington,First Capital Connect,FPK,2,East Coast Main,51.5502 ,-0.1836,,
Forest Gate,Forest Gate,Newham,National Express East Anglia,FOG,3,Great Eastern Main,51.5494 ,0.0242,,
Forest Hill,Forest Hill,Lewisham,Southern,FOH,3,Brighton Main,51.4393 ,-0.0533,,
Fulwell,Fulwell,Richmond,South West Trains,FLW,6,Shepperton Branch,51.4334 ,-0.3508,39,Waterloo
